visibility_weight,distance_weight,confidence_weight,center_weight,weight_sum,comparable_frames,candidate_objects,disagreement_count,disagreement_rate,baseline_agreement_count,baseline_agreement_rate
0.0,0.5,0.28571428571428575,0.2142857142857143,1.0,364,2728,69,18.956043956043956,290,79.67032967032966
0.1,0.45,0.2571428571428572,0.1928571428571429,1.0,364,2728,78,21.428571428571427,304,83.51648351648352
0.2,0.39999999999999997,0.22857142857142862,0.17142857142857143,1.0,364,2728,95,26.0989010989011,331,90.93406593406593
0.3,0.35,0.19999999999999998,0.15,1.0,364,2728,123,33.79120879120879,364,100.0
0.4,0.3,0.17142857142857143,0.1285714285714286,1.0,364,2728,146,40.10989010989011,333,91.48351648351648
0.5,0.25,0.14285714285714288,0.10714285714285715,1.0,364,2728,167,45.879120879120876,306,84.06593406593407
0.6,0.19999999999999998,0.11428571428571431,0.08571428571428572,1.0,364,2728,176,48.35164835164835,283,77.74725274725274
