metric,frames,median,q1,q3,iqr,mean,min,max,positive_count,positive_rate
delta_depth_mm,123,13.0,6.0,30.5,24.5,24.447154471544714,1.0,129.5,123,100.0
delta_visibility,123,0.17393529386893647,0.07252084668228326,0.28547322145965537,0.2129523747773721,0.18327845128389494,-0.17444397097661535,0.5744116216629871,115,93.4959349593496
delta_confidence,123,0.07035159999999996,0.026773184999999977,0.17222783000000003,0.14545464500000005,0.12731617788617886,-0.18927793999999998,0.56939078,108,87.8048780487805
delta_center,123,0.07838554030201556,0.021900487536207908,0.2632264642745371,0.2413259767383292,0.13877062302950213,-0.10939851518251842,0.5852585480638793,105,85.36585365853658
