sequence,frame_id,nearest_pred_id,nearest_gt_id,nearest_depth_mm,nearest_visibility,full_pred_id,full_gt_id,full_depth_mm,full_visibility,delta_depth_mm,delta_visibility
408,1600938560816057,3,4083016,706.0,0.4405610281598015,0,4083005,759.0,0.7575096281285348,53.0,0.3169485999687333
408,1600938560949375,8,4083022,704.0,0.6503832171732651,0,4083005,759.0,0.7675243983839826,55.0,0.11714118121071748
408,1600938561082694,6,4083024,711.0,0.4077114427500816,3,4083022,723.0,0.7193253855636997,12.0,0.31161394281361815
408,1600938561149352,6,4083024,684.0,0.48637530193910866,0,4083005,762.0,0.7789357041248879,78.0,0.2925604021857792
408,1600938561216011,6,4083024,671.0,0.5823539367191721,0,4083005,764.0,0.7789118953303065,93.0,0.19655795861113434
408,1600938561349329,5,4083024,671.5,0.4800346542099597,0,4083005,765.0,0.7807995076204068,93.5,0.3007648534104471
408,1600938561482648,5,4083024,665.0,0.5100905593536574,0,4083005,762.0,0.7868709002792399,97.0,0.27678034092558246
408,1600938561549306,4,4083016,735.0,0.5311400887573857,0,4083005,768.0,0.7798503127212011,33.0,0.24871022396381537
408,1600938561615965,4,4083016,714.0,0.4933902024245229,0,4083005,763.0,0.7749404036710691,49.0,0.2815502012465462
408,1600938561682626,4,4083016,742.0,0.47517464873896526,2,4083013,749.0,0.794567621521195,7.0,0.3193929727822297
408,1600938561815947,7,4083029,694.0,0.37353255344299485,2,4083013,750.0,0.7581231234670383,56.0,0.3845905700240434
408,1600938561882608,10,4083029,693.0,0.43990470810475923,3,4083013,748.0,0.7232930384662359,55.0,0.2833883303614767
408,1600938561949268,5,4083016,735.0,0.5618553652404952,0,4083005,761.0,0.7659953924331164,26.0,0.20414002719262125
408,1600938562015928,5,4083016,744.0,0.5663644539562925,2,4083013,754.0,0.7800931327188048,10.0,0.21372867876251223
408,1600938562082589,7,4083016,726.0,0.6331206512143155,2,4083013,757.0,0.8124815796373412,31.0,0.17936092842302576
408,1600938562149250,4,4083016,739.0,0.5999110797679039,2,4083013,758.0,0.7738463736368404,19.0,0.17393529386893647
408,1600938562215910,6,4083016,746.0,0.6759217774284509,0,4083005,764.0,0.7661062272958672,18.0,0.09018444986741625
408,1600938562282571,8,4083016,735.0,0.5948438255879124,0,4083005,767.0,0.8112352258652625,32.0,0.21639140027735015
408,1600938562349232,5,4083016,744.0,0.6760486059332289,0,4083005,767.0,0.8147440279064828,23.0,0.1386954219732539
408,1600938562482553,1,4083013,761.0,0.7553728379877995,3,4083005,768.0,0.7742759424658492,7.0,0.01890310447804966
408,1600938562549214,5,4083005,746.0,0.6871610408165396,1,4083013,761.0,0.758384574179226,15.0,0.07122353336268639
408,1600938562682535,9,4083016,728.0,0.5630129922102715,1,4083013,763.0,0.7370731092537973,35.0,0.17406011704352586
408,1600938563015838,8,4083013,764.0,0.7577344294570096,3,4083034,804.0,0.773772983311652,40.0,0.016038553854642368
