sequence_id,frame_id,candidate_count,full_prediction_id,full_gt_id,full_mask_depth,nearest_min_mask_depth,nearest_set_size,nearest_set_ids,full_visibility,nearest_set_max_visibility,full_confidence,nearest_set_max_confidence,full_center_score,nearest_set_max_center_score,delta_depth_mm,delta_visibility,delta_confidence,delta_center
405,1600938548750633,5,0,4054958,877.0,873.0,1,2,0.8231189283644453,0.7711914458524043,0.93466896,0.88431841,0.5643622947389982,0.2733739831025316,4.0,0.051927482512041045,0.050350549999999994,0.29098831163646666
405,1600938548817294,6,0,4054958,875.0,868.0,1,3,0.8381537060583648,0.7896799094467157,0.9288466,0.87895888,0.5707955824342058,0.2246385621554321,7.0,0.04847379661164908,0.04988771999999997,0.3461570202787737
405,1600938548950614,6,0,4054958,879.0,873.0,1,3,0.8440243251863557,0.7735833556906939,0.92325753,0.90139014,0.5445554458555047,0.2191251870154647,6.0,0.07044096949566181,0.021867390000000042,0.32543025884004007
405,1600938549017275,6,1,4054958,882.0,880.0,1,2,0.7704659722341284,0.7695853144651952,0.91619551,0.91367966,0.531798647083465,0.25902310782954224,2.0,0.0008806577689332018,0.002515849999999986,0.2727755392539228
405,1600938549083935,6,0,4054958,876.0,873.0,1,2,0.8622615383329876,0.7819342729609683,0.93821126,0.90136063,0.5069521540257761,0.25327476473062466,3.0,0.08032726537201929,0.036850629999999995,0.25367738929515143
405,1600938549217256,6,0,4054958,881.0,874.0,1,3,0.8472612596377042,0.7796841226139807,0.93659806,0.89262086,0.46573870564326797,0.24500859161170266,7.0,0.06757713702372348,0.04397720000000005,0.2207301140315653
405,1600938549683879,8,0,4054958,877.0,762.0,1,1,0.836388057069437,0.8532123138066257,0.93022591,0.91729891,0.3382167725877817,0.19466741465877144,115.0,-0.01682425673718868,0.012927000000000022,0.14354935792901027
406,1600938551950302,7,0,4062840,757.0,745.0,1,5,0.8619225266227015,0.7626797047115443,0.90769178,0.77807683,0.2390847970549206,0.22399334005227006,12.0,0.09924282191115719,0.1296149499999999,0.015091457002650549
406,1600938552016958,9,0,4062840,748.0,743.0,1,5,0.8463346288147606,0.8435054788396431,0.9129765,0.85949868,0.23198754499037968,0.21523368888647396,5.0,0.0028291499751175175,0.05347782000000001,0.01675385610390573
406,1600938552216924,11,0,4062851,749.0,747.0,1,1,0.8855061627031656,0.8383897216031838,0.91007805,0.90398526,0.24036411905742833,0.21604277885011855,2.0,0.04711644109998181,0.006092789999999959,0.024321340207309777
406,1600938552483544,10,1,4062840,751.0,748.0,1,0,0.9094061531767984,0.774373138837326,0.91805339,0.92995274,0.19804145952631916,0.2572665615438878,3.0,0.13503301433947246,-0.011899350000000086,-0.059225102017568615
406,1600938552550200,10,3,4062840,752.0,750.0,1,1,0.9452131697275304,0.8158924949711954,0.88905495,0.91352803,0.19649793444391453,0.28991852876738844,2.0,0.12932067475633502,-0.024473080000000036,-0.09342059432347391
406,1600938552683516,10,4,4062840,753.0,751.0,1,0,0.9171558774104659,0.7515323586517311,0.85755455,0.92158544,0.19271360943293436,0.2882917885872035,2.0,0.16562351875873482,-0.06403088999999995,-0.09557817915426914
406,1600938552750176,12,1,4062851,754.0,748.0,1,0,0.7985580574027431,0.7598657696876615,0.91756696,0.92353928,0.33567571757029996,0.29994716377157843,6.0,0.0386922877150816,-0.00597231999999992,0.03572855379872153
406,1600938552816836,13,0,4062851,753.0,752.0,1,11,0.8255560290233847,1.0,0.9180153,0.40608129,0.3537744835880368,0.190419646445912,1.0,-0.17444397097661535,0.51193401,0.16335483714212481
406,1600938552883497,11,2,4062851,750.0,748.0,1,0,0.8015402443710717,0.8000460564566536,0.91072124,0.92581511,0.37428373677981464,0.32229914684963007,2.0,0.0014941879144181325,-0.015093870000000065,0.051984589930184566
406,1600938552950157,13,0,4062851,754.0,751.0,1,2,0.8248145704056062,0.7408622805653841,0.91738099,0.90698737,0.3974865691986318,0.3370643546251749,3.0,0.08395228984022218,0.010393619999999992,0.06042221457345687
406,1600938553016818,12,2,4062851,750.0,749.0,1,0,0.829204988851495,0.7635988661877241,0.90638345,0.91413277,0.4241056123651176,0.3511956806212491,1.0,0.06560612266377086,-0.0077493200000000595,0.0729099317438685
406,1600938553150138,11,1,4062851,746.0,743.0,1,0,0.7747307853291822,0.7789607426641398,0.90656441,0.92067319,0.49037142039419235,0.3752473483494941,3.0,-0.004229957334957679,-0.014108780000000043,0.11512407204469827
406,1600938553216799,11,0,4062851,751.0,744.0,1,2,0.7791498625130447,0.7622711500981268,0.92069453,0.9155525,0.528136986339221,0.38944247787174996,7.0,0.016878712414917896,0.00514203000000002,0.13869450846747106
