sequence,frame_id,gt_objects,yolo_detections,conf_pass,conf_fail,matched_candidate_count,selection_candidate_count,unmatched_high_conf,iou_below_0_5,no_gt_overlap,greedy_conflict,unmatched_high_conf_rate
403,1600938541416349,11,17,11,6,9,9,2,1,1,0,0.18181818181818182
403,1600938541482983,12,15,10,5,9,9,1,1,0,0,0.1
403,1600938541549618,12,18,10,8,10,10,0,0,0,0,0.0
403,1600938541616279,12,20,11,9,9,9,2,2,0,0,0.18181818181818182
403,1600938541683041,12,18,11,7,10,10,1,1,0,0,0.09090909090909091
403,1600938541749804,12,16,10,6,10,10,0,0,0,0,0.0
403,1600938541816571,12,23,12,11,10,10,2,1,0,1,0.16666666666666666
403,1600938541883340,12,19,12,7,10,10,2,1,1,0,0.16666666666666666
403,1600938541950112,12,19,12,7,11,11,1,1,0,0,0.08333333333333333
403,1600938542016887,13,17,14,3,10,10,4,2,2,0,0.2857142857142857
403,1600938542083666,13,17,13,4,11,11,2,1,1,0,0.15384615384615385
403,1600938542150446,12,17,11,6,9,9,2,2,0,0,0.18181818181818182
403,1600938542217230,11,15,12,3,10,10,2,1,1,0,0.16666666666666666
403,1600938542284016,11,13,9,4,8,8,1,0,1,0,0.1111111111111111
403,1600938542350805,11,12,8,4,7,7,1,1,0,0,0.125
403,1600938542417597,10,9,8,1,8,7,0,0,0,0,0.0
403,1600938542484392,10,10,8,2,8,8,0,0,0,0,0.0
403,1600938542551189,11,16,8,8,8,8,0,0,0,0,0.0
403,1600938542617959,11,19,9,10,8,8,1,0,1,0,0.1111111111111111
403,1600938542684620,11,19,8,11,7,7,1,0,1,0,0.125
403,1600938542751279,11,19,5,14,5,5,0,0,0,0,0.0
403,1600938542817939,10,12,5,7,5,5,0,0,0,0,0.0
403,1600938542884599,10,9,5,4,5,5,0,0,0,0,0.0
403,1600938542951259,10,11,5,6,5,5,0,0,0,0,0.0
403,1600938543017919,10,9,6,3,6,6,0,0,0,0,0.0
403,1600938543084579,10,10,7,3,6,6,1,1,0,0,0.14285714285714285
403,1600938543151239,10,10,5,5,5,5,0,0,0,0,0.0
403,1600938543217898,9,7,5,2,5,5,0,0,0,0,0.0
403,1600938543284559,9,6,5,1,5,5,0,0,0,0,0.0
403,1600938543351219,9,6,5,1,5,5,0,0,0,0,0.0
403,1600938543417878,10,7,6,1,5,5,1,0,1,0,0.16666666666666666
403,1600938543484538,11,11,5,6,5,5,0,0,0,0,0.0
403,1600938543551199,11,16,7,9,7,7,0,0,0,0,0.0
403,1600938543617858,11,16,8,8,7,7,1,0,1,0,0.125
403,1600938543684518,11,20,8,12,7,7,1,0,1,0,0.125
403,1600938543751179,11,14,9,5,8,8,1,0,1,0,0.1111111111111111
403,1600938543817839,12,22,9,13,8,8,1,1,0,0,0.1111111111111111
403,1600938543884499,12,23,9,14,9,9,0,0,0,0,0.0
403,1600938543951159,12,25,10,15,9,9,1,0,1,0,0.1
403,1600938544017819,12,26,9,17,9,9,0,0,0,0,0.0
404,1600938544951051,11,26,9,17,8,8,1,0,1,0,0.1111111111111111
404,1600938545017709,11,15,10,5,10,10,0,0,0,0,0.0
404,1600938545084367,10,20,10,10,9,9,1,1,0,0,0.1
404,1600938545151025,11,14,10,4,10,10,0,0,0,0,0.0
404,1600938545217683,11,14,10,4,9,9,1,0,1,0,0.1
404,1600938545284341,10,14,9,5,8,8,1,1,0,0,0.1111111111111111
404,1600938545350999,10,11,9,2,9,9,0,0,0,0,0.0
404,1600938545417657,10,11,7,4,7,7,0,0,0,0,0.0
404,1600938545484315,8,10,6,4,6,6,0,0,0,0,0.0
404,1600938545550972,8,7,6,1,6,5,0,0,0,0,0.0
404,1600938545617631,8,9,7,2,7,6,0,0,0,0,0.0
404,1600938545684291,8,6,5,1,5,5,0,0,0,0,0.0
404,1600938545750951,8,9,5,4,5,5,0,0,0,0,0.0
404,1600938545817612,7,10,4,6,4,4,0,0,0,0,0.0
404,1600938545884272,7,6,4,2,4,4,0,0,0,0,0.0
404,1600938545950931,7,6,4,2,4,3,0,0,0,0,0.0
404,1600938546017592,7,7,4,3,3,3,1,1,0,0,0.25
