epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3044.18,0.80551,0.44184,0.87636,0.81889,0.59364,0.65616,0.4559,1.17078,0.90811,1.08038,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3137.41,0.79395,0.43601,0.8748,0.82548,0.60568,0.66716,0.46632,1.15816,0.87832,1.07914,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3230.75,0.79111,0.43329,0.8711,0.80864,0.60656,0.66516,0.46622,1.15145,0.88941,1.07459,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3324.07,0.78587,0.43027,0.87115,0.80668,0.59919,0.65999,0.46215,inf,0.90195,1.07992,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3418.03,0.7797,0.42593,0.87096,0.8006,0.61198,0.66214,0.46306,1.16016,0.9077,1.0822,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3512.01,0.77936,0.42612,0.8702,0.81726,0.60092,0.66124,0.46016,1.17328,0.8987,1.09138,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3605.29,0.77128,0.4205,0.868,0.81761,0.59958,0.65917,0.46297,1.15088,0.90102,1.07905,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3698.95,0.77327,0.42295,0.86673,0.80616,0.60264,0.65678,0.45946,1.16152,0.90565,1.07952,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3792.29,0.76578,0.41781,0.86626,0.80388,0.60925,0.66078,0.46285,1.16518,0.90495,1.0827,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3885.61,0.76013,0.4136,0.86402,0.81921,0.60247,0.6608,0.46454,1.15177,0.9047,1.0732,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3978.88,0.75532,0.41115,0.86231,0.813,0.60156,0.65846,0.46041,1.16371,0.9103,1.08444,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4072.25,0.75666,0.41104,0.86277,0.80388,0.59149,0.64212,0.45174,1.16033,0.95992,1.08211,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4165.93,0.74635,0.40722,0.86066,0.81598,0.599,0.65386,0.45698,1.16602,0.92205,1.08661,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4259.37,0.74487,0.40489,0.86158,0.80886,0.60578,0.65537,0.45908,1.16688,0.9154,1.08541,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4352.58,0.74108,0.40455,0.8593,0.80691,0.59453,0.64935,0.45657,1.15876,0.94537,1.08245,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
